Token      | Lexema           | LÌnea | Columna
-----------|------------------|-------|---------
{         | {                | 1    | 1
"         | "                | 2    | 5
Inicio    | Inicio           | 2    | 5
"         | "                | 2    | 5
:         | :                | 2    | 5
{         | {                | 2    | 6
"         | "                | 3    | 9
Encabezado| Encabezado       | 3    | 9
"         | "                | 3    | 9
:         | :                | 3    | 9
{         | {                | 3    | 10
"         | "                | 4    | 13
TituloPagina| TituloPagina     | 4    | 13
"         | "                | 4    | 13
:         | :                | 4    | 13
"         | "                | 4    | 14
Ejemplo   | Ejemplo          | 4    | 14
titulo    | titulo           | 4    | 15
"         | "                | 4    | 15
}         | }                | 5    | 9
,         | ,                | 5    | 9
"         | "                | 6    | 9
Cuerpo    | Cuerpo           | 6    | 9
"         | "                | 6    | 9
:         | :                | 6    | 9
[         | [                | 6    | 10
{         | {                | 7    | 13
"         | "                | 8    | 17
Titulo    | Titulo           | 8    | 17
"         | "                | 8    | 17
:         | :                | 8    | 17
{         | {                | 8    | 18
"         | "                | 9    | 21
texto     | texto            | 9    | 21
"         | "                | 9    | 21
:         | :                | 9    | 21
"         | "                | 9    | 22
Este      | Este             | 9    | 22
es        | es               | 9    | 23
un        | un               | 9    | 24
titulo    | titulo           | 9    | 25
"         | "                | 9    | 25
,         | ,                | 9    | 25
"         | "                | 10    | 21
posicion  | posicion         | 10    | 21
"         | "                | 10    | 21
:         | :                | 10    | 21
"         | "                | 10    | 22
izquierda | izquierda        | 10    | 22
"         | "                | 10    | 22
,         | ,                | 10    | 22
"         | "                | 11    | 21
tama√o    | tama√o           | 11    | 21
"         | "                | 11    | 21
:         | :                | 11    | 21
"         | "                | 11    | 22
t1        | t1               | 11    | 22
"         | "                | 11    | 22
,         | ,                | 11    | 22
"         | "                | 12    | 21
color     | color            | 12    | 21
"         | "                | 12    | 21
:         | :                | 12    | 21
"         | "                | 12    | 22
FF0000    | FF0000           | 12    | 22
"         | "                | 12    | 22
}         | }                | 13    | 17
}         | }                | 14    | 13
,         | ,                | 14    | 13
{         | {                | 15    | 13
"         | "                | 16    | 17
Fondo     | Fondo            | 16    | 17
"         | "                | 16    | 17
:         | :                | 16    | 17
{         | {                | 16    | 18
"         | "                | 17    | 21
color     | color            | 17    | 21
"         | "                | 17    | 21
:         | :                | 17    | 21
"         | "                | 17    | 22
FF0099    | FF0099           | 17    | 22
"         | "                | 17    | 22
}         | }                | 18    | 17
}         | }                | 19    | 13
,         | ,                | 19    | 13
{         | {                | 20    | 13
"         | "                | 21    | 17
Parrafo   | Parrafo          | 21    | 17
"         | "                | 21    | 17
:         | :                | 21    | 17
{         | {                | 21    | 18
"         | "                | 22    | 21
texto     | texto            | 22    | 21
"         | "                | 22    | 21
:         | :                | 22    | 21
"         | "                | 22    | 22
Este      | Este             | 22    | 22
es        | es               | 22    | 23
un        | un               | 22    | 24
parrafo   | parrafo          | 22    | 25
de        | de               | 22    | 26
ejemplo   | ejemplo          | 22    | 27
"         | "                | 22    | 27
,         | ,                | 22    | 27
"         | "                | 23    | 21
